Question,Answer,topic,split,Question_processed,Question_medical,Answer_processed,Answer_medical,source
what research (or clinical trials) is being done for Septo-Optic Dysplasia ?,"The NINDS supports and conducts neurogenetic research which focuses on identifying and studying the genes involved in normal brain development. The knowledge gained from these fundamental studies provides the foundation for understanding how this process can go awry and, thus, may eventually give clues to understanding disorders such as SOD.",Neurological_Disorders_Stroke,test,research clinical trial done septooptic dysplasia,what research or clinical trials is being done for septo-optic dysplasia,ninds support conduct neurogenetic research focus identifying studying gene involved normal brain development knowledge gained fundamental study provides foundation understanding process awry thus may eventually give clue understanding disorder sod,the ninds supports and conducts neurogenetic research which focuses on identifying and studying the genes involved in normal brain development the knowledge gained from these fundamental studies provides the foundation for understanding how this process can go awry and thus may eventually give clues to understanding disorders such as sod,Neurological_Disorders_and_StrokeQA
What is (are) Prosopagnosia ?,"Prosopagnosia is a neurological disorder characterized by the inability to recognize faces. Prosopagnosia is also known as face blindness or facial agnosia. The term prosopagnosia comes from the Greek words for face and lack of knowledge. Depending upon the degree of impairment, some people with prosopagnosia may only have difficulty recognizing a familiar face; others will be unable to discriminate between unknown faces, while still others may not even be able to distinguish a face as being different from an object. Some people with the disorder are unable to recognize their own face. Prosopagnosia is not related to memory dysfunction, memory loss, impaired vision, or learning disabilities. Prosopagnosia is thought to be the result of abnormalities, damage, or impairment in the right fusiform gyrus, a fold in the brain that appears to coordinate the neural systems that control facial perception and memory. Prosopagnosia can result from stroke, traumatic brain injury, or certain neurodegenerative diseases. In some cases it is a congenital disorder, present at birth in the absence of any brain damage. Congenital prosopagnosia appears to run in families, which makes it likely to be the result of a genetic mutation or deletion. Some degree of prosopagnosia is often present in children with autism and Aspergers syndrome, and may be the cause of their impaired social development.",Neurological_Disorders_Stroke,train,prosopagnosia,what is are prosopagnosia,prosopagnosia neurological disorder characterized inability recognize face prosopagnosia also known face blindness facial agnosia term prosopagnosia come greek word face lack knowledge depending upon degree impairment people prosopagnosia may difficulty recognizing familiar face others unable discriminate unknown face still others may even able distinguish face different object people disorder unable recognize face prosopagnosia related memory dysfunction memory loss impaired vision learning disability prosopagnosia thought result abnormality damage impairment right fusiform gyrus fold brain appears coordinate neural system control facial perception memory prosopagnosia result stroke traumatic brain injury certain neurodegenerative disease case congenital disorder present birth absence brain damage congenital prosopagnosia appears run family make likely result genetic mutation deletion degree prosopagnosia often present child autism aspergers syndrome may cause impaired social development,prosopagnosia is a neurological disorder characterized by the inability to recognize faces prosopagnosia is also known as face blindness or facial agnosia the term prosopagnosia comes from the greek words for face and lack of knowledge depending upon the degree of impairment some people with prosopagnosia may only have difficulty recognizing a familiar face others will be unable to discriminate between unknown faces while still others may not even be able to distinguish a face as being different from an object some people with the disorder are unable to recognize their own face prosopagnosia is not related to memory dysfunction memory loss impaired vision or learning disabilities prosopagnosia is thought to be the result of abnormalities damage or impairment in the right fusiform gyrus a fold in the brain that appears to coordinate the neural systems that control facial perception and memory prosopagnosia can result from stroke traumatic brain injury or certain neurodegenerative diseases in some cases it is a congenital disorder present at birth in the absence of any brain damage congenital prosopagnosia appears to run in families which makes it likely to be the result of a genetic mutation or deletion some degree of prosopagnosia is often present in children with autism and aspergers syndrome and may be the cause of their impaired social development,Neurological_Disorders_and_StrokeQA
What are the treatments for Prosopagnosia ?,The focus of any treatment should be to help the individual with prosopagnosia develop compensatory strategies. Adults who have the condition as a result of stroke or brain trauma can be retrained to use other clues to identify individuals.,Neurological_Disorders_Stroke,train,treatment prosopagnosia,what are the treatments for prosopagnosia,focus treatment help individual prosopagnosia develop compensatory strategy adult condition result stroke brain trauma retrained use clue identify individual,the focus of any treatment should be to help the individual with prosopagnosia develop compensatory strategies adults who have the condition as a result of stroke or brain trauma can be retrained to use other clues to identify individuals,Neurological_Disorders_and_StrokeQA
What is the outlook for Prosopagnosia ?,"Prosopagnosia can be socially crippling. Individuals with the disorder often have difficulty recognizing family members and close friends. They often use other ways to identify people, such as relying on voice, clothing, or unique physical attributes, but these are not as effective as recognizing a face. Children with congenital prosopagnosia are born with the disability and have never had a time when they could recognize faces. Greater awareness of autism, and the autism spectrum disorders, which involve communication impairments such as prosopagnosia, is likely to make the disorder less overlooked in the future.",Neurological_Disorders_Stroke,train,outlook prosopagnosia,what is the outlook for prosopagnosia,prosopagnosia socially crippling individual disorder often difficulty recognizing family member close friend often use way identify people relying voice clothing unique physical attribute effective recognizing face child congenital prosopagnosia born disability never time could recognize face greater awareness autism autism spectrum disorder involve communication impairment prosopagnosia likely make disorder less overlooked future,prosopagnosia can be socially crippling individuals with the disorder often have difficulty recognizing family members and close friends they often use other ways to identify people such as relying on voice clothing or unique physical attributes but these are not as effective as recognizing a face children with congenital prosopagnosia are born with the disability and have never had a time when they could recognize faces greater awareness of autism and the autism spectrum disorders which involve communication impairments such as prosopagnosia is likely to make the disorder less overlooked in the future,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Prosopagnosia ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts research related to prosopagnosia in its laboratories at the National Institutes of Health (NIH), and also supports additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure disorders, such as prosopagnosia.",Neurological_Disorders_Stroke,train,research clinical trial done prosopagnosia,what research or clinical trials is being done for prosopagnosia,national institute neurological disorder stroke ninds conduct research related prosopagnosia laboratory national institute health nih also support additional research grant major medical institution across country much research focus finding better way prevent treat ultimately cure disorder prosopagnosia,the national institute of neurological disorders and stroke ninds conducts research related to prosopagnosia in its laboratories at the national institutes of health nih and also supports additional research through grants to major medical institutions across the country much of this research focuses on finding better ways to prevent treat and ultimately cure disorders such as prosopagnosia,Neurological_Disorders_and_StrokeQA
What is (are) Spinal Cord Infarction ?,"Spinal cord infarction is a stroke either within the spinal cord or the arteries that supply it. It is caused by arteriosclerosis or a thickening or closing of the major arteries to the spinal cord. Frequently spinal cord infarction is caused by a specific form of arteriosclerosis called atheromatosis, in which a deposit or accumulation of lipid-containing matter forms within the arteries. Symptoms, which generally appear within minutes or a few hours of the infarction, may include intermittent sharp or burning back pain, aching pain down through the legs, weakness in the legs, paralysis, loss of deep tendon reflexes, loss of pain and temperature sensation, and incontinence.",Neurological_Disorders_Stroke,train,spinal cord infarction,what is are spinal cord infarction,spinal cord infarction stroke either within spinal cord artery supply caused arteriosclerosis thickening closing major artery spinal cord frequently spinal cord infarction caused specific form arteriosclerosis called atheromatosis deposit accumulation lipidcontaining matter form within artery symptom generally appear within minute hour infarction may include intermittent sharp burning back pain aching pain leg weakness leg paralysis loss deep tendon reflex loss pain temperature sensation incontinence,spinal cord infarction is a stroke either within the spinal cord or the arteries that supply it it is caused by arteriosclerosis or a thickening or closing of the major arteries to the spinal cord frequently spinal cord infarction is caused by a specific form of arteriosclerosis called atheromatosis in which a deposit or accumulation of lipid-containing matter forms within the arteries symptoms which generally appear within minutes or a few hours of the infarction may include intermittent sharp or burning back pain aching pain down through the legs weakness in the legs paralysis loss of deep tendon reflexes loss of pain and temperature sensation and incontinence,Neurological_Disorders_and_StrokeQA
What are the treatments for Spinal Cord Infarction ?,Treatment is symptomatic. Physical and occupational therapy may help individuals recover from weakness or paralysis. A catheter may be necessary for patients with urinary incontinence.,Neurological_Disorders_Stroke,train,treatment spinal cord infarction,what are the treatments for spinal cord infarction,treatment symptomatic physical occupational therapy may help individual recover weakness paralysis catheter may necessary patient urinary incontinence,treatment is symptomatic physical and occupational therapy may help individuals recover from weakness or paralysis a catheter may be necessary for patients with urinary incontinence,Neurological_Disorders_and_StrokeQA
What is the outlook for Spinal Cord Infarction ?,Recovery depends upon how quickly treatment is received and how severely the body is compromised. Paralysis may persist for many weeks or be permanent. Most individuals have a good chance of recovery.,Neurological_Disorders_Stroke,train,outlook spinal cord infarction,what is the outlook for spinal cord infarction,recovery depends upon quickly treatment received severely body compromised paralysis may persist many week permanent individual good chance recovery,recovery depends upon how quickly treatment is received and how severely the body is compromised paralysis may persist for many weeks or be permanent most individuals have a good chance of recovery,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Spinal Cord Infarction ?,"NINDS conducts and supports research on disorders of the spinal cord such as spinal cord infarction, aimed at learning more about these disorders and finding ways to prevent and treat them.",Neurological_Disorders_Stroke,train,research clinical trial done spinal cord infarction,what research or clinical trials is being done for spinal cord infarction,ninds conduct support research disorder spinal cord spinal cord infarction aimed learning disorder finding way prevent treat,ninds conducts and supports research on disorders of the spinal cord such as spinal cord infarction aimed at learning more about these disorders and finding ways to prevent and treat them,Neurological_Disorders_and_StrokeQA
What is (are) Sjgren's Syndrome ?,"Sjgren's syndrome is an autoimmune disorder in which immune cells attack and destroy the glands that produce tears and saliva. Sjgren's syndrome is also associated with rheumatic disorders such as rheumatoid arthritis. The hallmark symptoms of the disorder are dry mouth and dry eyes. In addition, Sjogren's syndrome may cause skin, nose, and vaginal dryness, and may affect other organs of the body including the kidneys, blood vessels, lungs, liver, pancreas, and brain.  Sjgren's syndrome affects 1-4 million people in the United States. Most people are more than 40 years old at the time of diagnosis. Women are 9 times more likely to have Sjgren's syndrome than men.",Neurological_Disorders_Stroke,train,sjgrens syndrome,what is are sjgrens syndrome,sjgrens syndrome autoimmune disorder immune cell attack destroy gland produce tear saliva sjgrens syndrome also associated rheumatic disorder rheumatoid arthritis hallmark symptom disorder dry mouth dry eye addition sjogrens syndrome may cause skin nose vaginal dryness may affect organ body including kidney blood vessel lung liver pancreas brain sjgrens syndrome affect million people united state people year old time diagnosis woman time likely sjgrens syndrome men,sjgrens syndrome is an autoimmune disorder in which immune cells attack and destroy the glands that produce tears and saliva sjgrens syndrome is also associated with rheumatic disorders such as rheumatoid arthritis the hallmark symptoms of the disorder are dry mouth and dry eyes in addition sjogrens syndrome may cause skin nose and vaginal dryness and may affect other organs of the body including the kidneys blood vessels lungs liver pancreas and brain sjgrens syndrome affects 1-4 million people in the united states most people are more than 40 years old at the time of diagnosis women are 9 times more likely to have sjgrens syndrome than men,Neurological_Disorders_and_StrokeQA
What are the treatments for Sjgren's Syndrome ?,"There is no known cure for Sjgren's syndrome nor is there a specific treatment to restore gland secretion. Treatment is generally symptomatic and supportive. Moisture replacement therapies may ease the symptoms of dryness. Nonsteroidal anti-inflammatory drugs may be used to treat musculoskeletal symptoms. For individuals with severe complications, corticosteroids or immunosuppressive drugs may be prescribed.",Neurological_Disorders_Stroke,train,treatment sjgrens syndrome,what are the treatments for sjgrens syndrome,known cure sjgrens syndrome specific treatment restore gland secretion treatment generally symptomatic supportive moisture replacement therapy may ease symptom dryness nonsteroidal antiinflammatory drug may used treat musculoskeletal symptom individual severe complication corticosteroid immunosuppressive drug may prescribed,there is no known cure for sjgrens syndrome nor is there a specific treatment to restore gland secretion treatment is generally symptomatic and supportive moisture replacement therapies may ease the symptoms of dryness nonsteroidal anti-inflammatory drugs may be used to treat musculoskeletal symptoms for individuals with severe complications corticosteroids or immunosuppressive drugs may be prescribed,Neurological_Disorders_and_StrokeQA
What is the outlook for Sjgren's Syndrome ?,"Sjgren's syndrome can damage vital organs of the body with symptoms that may remain stable, worsen, or go into remission. Some people may experience only the mild symptoms of dry eyes and mouth, while others go through cycles of good health followed by severe disease. Many patients are able to treat problems symptomatically. Others are forced to cope with blurred vision, constant eye discomfort, recurrent mouth infections, swollen parotid glands, hoarseness, and difficulty in swallowing and eating. Debilitating fatigue and joint pain can seriously impair quality of life.",Neurological_Disorders_Stroke,train,outlook sjgrens syndrome,what is the outlook for sjgrens syndrome,sjgrens syndrome damage vital organ body symptom may remain stable worsen remission people may experience mild symptom dry eye mouth others cycle good health followed severe disease many patient able treat problem symptomatically others forced cope blurred vision constant eye discomfort recurrent mouth infection swollen parotid gland hoarseness difficulty swallowing eating debilitating fatigue joint pain seriously impair quality life,sjgrens syndrome can damage vital organs of the body with symptoms that may remain stable worsen or go into remission some people may experience only the mild symptoms of dry eyes and mouth while others go through cycles of good health followed by severe disease many patients are able to treat problems symptomatically others are forced to cope with blurred vision constant eye discomfort recurrent mouth infections swollen parotid glands hoarseness and difficulty in swallowing and eating debilitating fatigue and joint pain can seriously impair quality of life,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Sjgren's Syndrome ?,"The goals of research on disorders such as Sjgren's syndrome focus on increasing knowledge and understanding of the disorder, improving diagnostic techniques, testing interventions, and finding ways to treat, prevent, and cure the disease.",Neurological_Disorders_Stroke,train,research clinical trial done sjgrens syndrome,what research or clinical trials is being done for sjgrens syndrome,goal research disorder sjgrens syndrome focus increasing knowledge understanding disorder improving diagnostic technique testing intervention finding way treat prevent cure disease,the goals of research on disorders such as sjgrens syndrome focus on increasing knowledge and understanding of the disorder improving diagnostic techniques testing interventions and finding ways to treat prevent and cure the disease,Neurological_Disorders_and_StrokeQA
What is (are) Rett Syndrome ?,"Rett syndrome is a childhood neurodevelopmental disorder that affects females almost exclusively. The child generally appears to grow and develop normally, before symptoms begin. Loss of muscle tone is usually the first symptom. Other early symptoms may include a slowing of development, problems crawling or walking, and diminished eye contact. As the syndrome progresses, a child will lose purposeful use of her hands and the ability to speak. Compulsive hand movements such as wringing and washing follow the loss of functional use of the hands. The inability to perform motor functions is perhaps the most severely disabling feature of Rett syndrome, interfering with every body movement, including eye gaze and speech.",Neurological_Disorders_Stroke,test,rett syndrome,what is are rett syndrome,rett syndrome childhood neurodevelopmental disorder affect female almost exclusively child generally appears grow develop normally symptom begin loss muscle tone usually first symptom early symptom may include slowing development problem crawling walking diminished eye contact syndrome progress child lose purposeful use hand ability speak compulsive hand movement wringing washing follow loss functional use hand inability perform motor function perhaps severely disabling feature rett syndrome interfering every body movement including eye gaze speech,rett syndrome is a childhood neurodevelopmental disorder that affects females almost exclusively the child generally appears to grow and develop normally before symptoms begin loss of muscle tone is usually the first symptom other early symptoms may include a slowing of development problems crawling or walking and diminished eye contact as the syndrome progresses a child will lose purposeful use of her hands and the ability to speak compulsive hand movements such as wringing and washing follow the loss of functional use of the hands the inability to perform motor functions is perhaps the most severely disabling feature of rett syndrome interfering with every body movement including eye gaze and speech,Neurological_Disorders_and_StrokeQA
What are the treatments for Rett Syndrome ?,"There is no cure for Rett syndrome. Treatment for the disorder is symptomatic, focusing on the management of symptoms, and supportive. Medication may be needed for breathing irregularities and motor difficulties, and antiepileptic drugs may be used to control seizures. Occupational therapy, physiotherapy, and hydrotherapy may prolong mobility. Some children may require special equipment and aids such as braces to arrest scoliosis, splints to modify hand movements, and nutritional programs to help them maintain adequate weight. Special academic, social, vocational, and support services may be required in some cases.",Neurological_Disorders_Stroke,test,treatment rett syndrome,what are the treatments for rett syndrome,cure rett syndrome treatment disorder symptomatic focusing management symptom supportive medication may needed breathing irregularity motor difficulty antiepileptic drug may used control seizure occupational therapy physiotherapy hydrotherapy may prolong mobility child may require special equipment aid brace arrest scoliosis splint modify hand movement nutritional program help maintain adequate weight special academic social vocational support service may required case,there is no cure for rett syndrome treatment for the disorder is symptomatic focusing on the management of symptoms and supportive medication may be needed for breathing irregularities and motor difficulties and antiepileptic drugs may be used to control seizures occupational therapy physiotherapy and hydrotherapy may prolong mobility some children may require special equipment and aids such as braces to arrest scoliosis splints to modify hand movements and nutritional programs to help them maintain adequate weight special academic social vocational and support services may be required in some cases,Neurological_Disorders_and_StrokeQA
What is the outlook for Rett Syndrome ?,"The course of Rett syndrome, including the age of onset and the severity of symptoms, varies from child to child. Despite the difficulties with symptoms, most individuals with Rett syndrome continue to live well into middle age and beyond. Because the disorder is rare, very little is known about long-term prognosis and life expectancy.",Neurological_Disorders_Stroke,train,outlook rett syndrome,what is the outlook for rett syndrome,course rett syndrome including age onset severity symptom varies child child despite difficulty symptom individual rett syndrome continue live well middle age beyond disorder rare little known longterm prognosis life expectancy,the course of rett syndrome including the age of onset and the severity of symptoms varies from child to child despite the difficulties with symptoms most individuals with rett syndrome continue to live well into middle age and beyond because the disorder is rare very little is known about long-term prognosis and life expectancy,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Rett Syndrome ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to Rett syndrome in laboratories at the NIH, and also support additional Rett syndrome research through grants to major medical institutions across the country. The discovery of the Rett syndrome gene in 1999 provides a basis for further genetic studies. Understanding the cause of this disorder is necessary for developing new therapies to manage specific symptoms, as well as for providing better methods of diagnosis.",Neurological_Disorders_Stroke,train,research clinical trial done rett syndrome,what research or clinical trials is being done for rett syndrome,national institute neurological disorder stroke ninds institute national institute health nih conduct research related rett syndrome laboratory nih also support additional rett syndrome research grant major medical institution across country discovery rett syndrome gene provides basis genetic study understanding cause disorder necessary developing new therapy manage specific symptom well providing better method diagnosis,the national institute of neurological disorders and stroke ninds and other institutes of the national institutes of health nih conduct research related to rett syndrome in laboratories at the nih and also support additional rett syndrome research through grants to major medical institutions across the country the discovery of the rett syndrome gene in 1999 provides a basis for further genetic studies understanding the cause of this disorder is necessary for developing new therapies to manage specific symptoms as well as for providing better methods of diagnosis,Neurological_Disorders_and_StrokeQA
What is (are) Neurological Consequences of Cytomegalovirus Infection ?,"Cytomegalovirus (CMV) is a virus found throughout the world that infects between 50 to 80 percent of all adults in the United States by the age of 40. CMV is in the same family of viruses that causes cold sores (herpes simplex virus), infectious mononucleosis (Epstein-Barr virus), and chickenpox/shingles (varicella zoster virus).  Most people who acquire CVM as children or adults display no signs of illness or have mild symptoms such as fever, fatigue, or tender lymph nodes. People with a compromised immune system may have more severe forms of infection involving the nervous system.
                
A hallmark of CMV infection is that the virus cycles through periods of dormancy and active infection during the life of the individual Infected persons of any age periodically shed the virus in their body fluids, such as saliva, urine, blood, tears, semen, or breast milk. CMV is most commonly transmitted when infected body fluids come in contact with the mucous membranes of an uninfected person, but the virus can also pass from mother to fetus during pregnancy.",Neurological_Disorders_Stroke,train,neurological consequence cytomegalovirus infection,what is are neurological consequences of cytomegalovirus infection,cytomegalovirus cmv virus found throughout world infects percent adult united state age cmv family virus cause cold sore herpes simplex virus infectious mononucleosis epsteinbarr virus chickenpoxshingles varicella zoster virus people acquire cvm child adult display sign illness mild symptom fever fatigue tender lymph node people compromised immune system may severe form infection involving nervous system hallmark cmv infection virus cycle period dormancy active infection life individual infected person age periodically shed virus body fluid saliva urine blood tear semen breast milk cmv commonly transmitted infected body fluid come contact mucous membrane uninfected person virus also pas mother fetus pregnancy,cytomegalovirus cmv is a virus found throughout the world that infects between 50 to 80 percent of all adults in the united states by the age of 40 cmv is in the same family of viruses that causes cold sores herpes simplex virus infectious mononucleosis epstein-barr virus and chickenpoxshingles varicella zoster virus most people who acquire cvm as children or adults display no signs of illness or have mild symptoms such as fever fatigue or tender lymph nodes people with a compromised immune system may have more severe forms of infection involving the nervous system a hallmark of cmv infection is that the virus cycles through periods of dormancy and active infection during the life of the individual infected persons of any age periodically shed the virus in their body fluids such as saliva urine blood tears semen or breast milk cmv is most commonly transmitted when infected body fluids come in contact with the mucous membranes of an uninfected person but the virus can also pass from mother to fetus during pregnancy,Neurological_Disorders_and_StrokeQA
What are the treatments for Neurological Consequences of Cytomegalovirus Infection ?,"Since the virus remains in the person for life, there is no treatment to eliminate CMV infection. However, minimizing contact with infected body fluids can decrease the risk of viral transmission between individuals or from mother to fetus. Contact can be minimized by using gloves or other protective barriers when handling body fluids or contaminated materials (such as diapers or tissues), avoiding shared dishes, utensils, and other personal items, and consistent and thorough hand-washing. 
                
Antiviral drugs (ganciclovir and others)can be used to prevent or control the symptoms of CMV infection in immunocompromised individuals or some infants with congenital infection. CMV immunoglobulin may also be used in some patients. Vaccines are in the development and human clinical trial stages, which shows that vaccines may help prevent initial CMV infection or decrease the severity of symptoms.",Neurological_Disorders_Stroke,train,treatment neurological consequence cytomegalovirus infection,what are the treatments for neurological consequences of cytomegalovirus infection,since virus remains person life treatment eliminate cmv infection however minimizing contact infected body fluid decrease risk viral transmission individual mother fetus contact minimized using glove protective barrier handling body fluid contaminated material diaper tissue avoiding shared dish utensil personal item consistent thorough handwashing antiviral drug ganciclovir otherscan used prevent control symptom cmv infection immunocompromised individual infant congenital infection cmv immunoglobulin may also used patient vaccine development human clinical trial stage show vaccine may help prevent initial cmv infection decrease severity symptom,since the virus remains in the person for life there is no treatment to eliminate cmv infection however minimizing contact with infected body fluids can decrease the risk of viral transmission between individuals or from mother to fetus contact can be minimized by using gloves or other protective barriers when handling body fluids or contaminated materials such as diapers or tissues avoiding shared dishes utensils and other personal items and consistent and thorough hand-washing antiviral drugs ganciclovir and otherscan be used to prevent or control the symptoms of cmv infection in immunocompromised individuals or some infants with congenital infection cmv immunoglobulin may also be used in some patients vaccines are in the development and human clinical trial stages which shows that vaccines may help prevent initial cmv infection or decrease the severity of symptoms,Neurological_Disorders_and_StrokeQA
What is the outlook for Neurological Consequences of Cytomegalovirus Infection ?,"For most people CMV infection is not a problem. However, two groups of people are at high risk of neurological or other severe symptoms that may lead to long-term effects:
                
- Unborn infants whose mothers have CMV infection. CMVis the most common congenital infection in the U.S. Most infants will have no permanent health consequences, but a small number will have at birth or will develop long-term neurological conditions, such as hearing loss, visual impairment, seizures, or disabilities f mental or physical function. The highest risk of these severe effects on the fetus is for women who acquire CMV infection for the first time during pregnancy. The risk is much lower for women who have had CMV infection in the past before pregnancy. - Immunocompromised individuals. CMV infection may be severe in solid organ or blood cell transplant recipients, people with untreated or end-stage HIV-AIDS, or others with altered immune function. Infection may affect the brain (encephalitis), spinal cord (myelitis), eye (retinitis), or other organs such as the lungs (pneumonia) or intestinal gract (gastritis, enteritis, or colitis). In addition, transplant recipients may develop organ rejection or graft-versus-host disease associated with CMV infection.",Neurological_Disorders_Stroke,train,outlook neurological consequence cytomegalovirus infection,what is the outlook for neurological consequences of cytomegalovirus infection,people cmv infection problem however two group people high risk neurological severe symptom may lead longterm effect unborn infant whose mother cmv infection cmvis common congenital infection infant permanent health consequence small number birth develop longterm neurological condition hearing loss visual impairment seizure disability mental physical function highest risk severe effect fetus woman acquire cmv infection first time pregnancy risk much lower woman cmv infection past pregnancy immunocompromised individual cmv infection may severe solid organ blood cell transplant recipient people untreated endstage hivaids others altered immune function infection may affect brain encephalitis spinal cord myelitis eye retinitis organ lung pneumonia intestinal gract gastritis enteritis colitis addition transplant recipient may develop organ rejection graftversushost disease associated cmv infection,for most people cmv infection is not a problem however two groups of people are at high risk of neurological or other severe symptoms that may lead to long-term effects - unborn infants whose mothers have cmv infection cmvis the most common congenital infection in the us most infants will have no permanent health consequences but a small number will have at birth or will develop long-term neurological conditions such as hearing loss visual impairment seizures or disabilities f mental or physical function the highest risk of these severe effects on the fetus is for women who acquire cmv infection for the first time during pregnancy the risk is much lower for women who have had cmv infection in the past before pregnancy - immunocompromised individuals cmv infection may be severe in solid organ or blood cell transplant recipients people with untreated or end-stage hiv-aids or others with altered immune function infection may affect the brain encephalitis spinal cord myelitis eye retinitis or other organs such as the lungs pneumonia or intestinal gract gastritis enteritis or colitis in addition transplant recipients may develop organ rejection or graft-versus-host disease associated with cmv infection,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Neurological Consequences of Cytomegalovirus Infection ?,"The National Institute of Neurological Disorders and Stroke (NINDS), and other institutes of the National Institutes of Health (NIH), conduct research related to CMV infection in laboratories at the NIH, and support additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent and treat CMV infection in people at risk of severe neurological consequences, especially a safe and effective CMV vaccine.",Neurological_Disorders_Stroke,train,research clinical trial done neurological consequence cytomegalovirus infection,what research or clinical trials is being done for neurological consequences of cytomegalovirus infection,national institute neurological disorder stroke ninds institute national institute health nih conduct research related cmv infection laboratory nih support additional research grant major medical institution across country much research focus finding better way prevent treat cmv infection people risk severe neurological consequence especially safe effective cmv vaccine,the national institute of neurological disorders and stroke ninds and other institutes of the national institutes of health nih conduct research related to cmv infection in laboratories at the nih and support additional research through grants to major medical institutions across the country much of this research focuses on finding better ways to prevent and treat cmv infection in people at risk of severe neurological consequences especially a safe and effective cmv vaccine,Neurological_Disorders_and_StrokeQA
What is (are) Corticobasal Degeneration ?,"Corticobasal degeneration is a progressive neurological disorder characterized by nerve cell loss and atrophy (shrinkage) of multiple areas of the brain including the cerebral cortex and the basal ganglia. Corticobasal degeneration progresses gradually. Initial symptoms, which typically begin at or around age 60, may first appear on one side of the body (unilateral), but eventually affect both sides as the disease progresses. Symptoms are similar to those found in Parkinson disease, such as poor coordination, akinesia (an absence of movements), rigidity (a resistance to imposed movement), disequilibrium (impaired balance); and limb dystonia (abnormal muscle postures). Other symptoms such as cognitive and visual-spatial impairments, apraxia (loss of the ability to make familiar, purposeful movements), hesitant and halting speech, myoclonus (muscular jerks), and dysphagia (difficulty swallowing) may also occur. An individual with corticobasal degeneration eventually becomes unable to walk.",Neurological_Disorders_Stroke,train,corticobasal degeneration,what is are corticobasal degeneration,corticobasal degeneration progressive neurological disorder characterized nerve cell loss atrophy shrinkage multiple area brain including cerebral cortex basal ganglion corticobasal degeneration progress gradually initial symptom typically begin around age may first appear one side body unilateral eventually affect side disease progress symptom similar found parkinson disease poor coordination akinesia absence movement rigidity resistance imposed movement disequilibrium impaired balance limb dystonia abnormal muscle posture symptom cognitive visualspatial impairment apraxia loss ability make familiar purposeful movement hesitant halting speech myoclonus muscular jerk dysphagia difficulty swallowing may also occur individual corticobasal degeneration eventually becomes unable walk,corticobasal degeneration is a progressive neurological disorder characterized by nerve cell loss and atrophy shrinkage of multiple areas of the brain including the cerebral cortex and the basal ganglia corticobasal degeneration progresses gradually initial symptoms which typically begin at or around age 60 may first appear on one side of the body unilateral but eventually affect both sides as the disease progresses symptoms are similar to those found in parkinson disease such as poor coordination akinesia an absence of movements rigidity a resistance to imposed movement disequilibrium impaired balance and limb dystonia abnormal muscle postures other symptoms such as cognitive and visual-spatial impairments apraxia loss of the ability to make familiar purposeful movements hesitant and halting speech myoclonus muscular jerks and dysphagia difficulty swallowing may also occur an individual with corticobasal degeneration eventually becomes unable to walk,Neurological_Disorders_and_StrokeQA
What are the treatments for Corticobasal Degeneration ?,"There is no treatment available to slow the course of corticobasal degeneration, and the symptoms of the disease are generally resistant to therapy. Drugs used to treat Parkinson disease-type symptoms do not produce any significant or sustained improvement. Clonazepam may help the myoclonus. Occupational, physical, and speech therapy can help in managing disability.",Neurological_Disorders_Stroke,test,treatment corticobasal degeneration,what are the treatments for corticobasal degeneration,treatment available slow course corticobasal degeneration symptom disease generally resistant therapy drug used treat parkinson diseasetype symptom produce significant sustained improvement clonazepam may help myoclonus occupational physical speech therapy help managing disability,there is no treatment available to slow the course of corticobasal degeneration and the symptoms of the disease are generally resistant to therapy drugs used to treat parkinson disease-type symptoms do not produce any significant or sustained improvement clonazepam may help the myoclonus occupational physical and speech therapy can help in managing disability,Neurological_Disorders_and_StrokeQA
What is the outlook for Corticobasal Degeneration ?,Corticobasal degeneration usually progresses slowly over the course of 6 to 8 years. Death is generally caused by pneumonia or other complications of severe debility such as sepsis or pulmonary embolism.,Neurological_Disorders_Stroke,train,outlook corticobasal degeneration,what is the outlook for corticobasal degeneration,corticobasal degeneration usually progress slowly course year death generally caused pneumonia complication severe debility sepsis pulmonary embolism,corticobasal degeneration usually progresses slowly over the course of 6 to 8 years death is generally caused by pneumonia or other complications of severe debility such as sepsis or pulmonary embolism,Neurological_Disorders_and_StrokeQA
